City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Puerto Ayora,EC,70.56,scattered clouds,-0.7393,-90.3518,
5,Pangoa,PE,65.35,scattered clouds,-12.1167,-73.0,
7,Avarua,CK,75.25,light rain,-21.2078,-159.775,
9,Walvis Bay,,74.35,clear sky,-22.9575,14.5053,
13,Solnechnyy,RU,74.57,overcast clouds,50.7214,136.6319,
14,Jacareacanga,BR,78.01,broken clouds,-6.2222,-57.7528,
16,Namibe,AO,66.25,clear sky,-15.1961,12.1522,
19,Changli,CN,79.47,clear sky,39.7042,119.1506,
20,Tafo,GH,68.36,clear sky,6.7345,-1.6127,
22,Quatre Cocos,MU,68.11,clear sky,-20.2078,57.7625,
23,Djambala,CG,71.74,overcast clouds,-2.5447,14.7533,
24,Bauchi,NG,69.17,light rain,10.5,10.0,
39,Kalanguy,RU,71.31,few clouds,51.0167,116.5167,
44,Vaini,TO,72.84,broken clouds,-21.2,-175.2,
45,Hilo,US,77.25,broken clouds,19.7297,-155.09,
46,Mandera,KE,74.48,broken clouds,3.9366,41.867,
49,Savyntsi,UA,72.48,scattered clouds,49.4026,37.0627,
52,Virginia Beach,US,77.02,scattered clouds,36.8529,-75.978,
57,Richards Bay,ZA,67.57,overcast clouds,-28.783,32.0377,
62,Karratha,AU,72.48,clear sky,-20.7377,116.8463,
66,Airai,TL,76.15,few clouds,-8.9266,125.4092,
67,Soloneshnoye,RU,76.12,scattered clouds,51.6544,84.3197,
68,Isangel,VU,71.71,broken clouds,-19.55,169.2667,
69,Rafraf,TN,75.51,clear sky,37.1904,10.1837,
70,Sawtell,AU,65.19,light rain,-30.3833,153.1,
73,Rikitea,PF,69.22,clear sky,-23.1203,-134.9692,
74,Atuona,PF,77.29,few clouds,-9.8,-139.0333,
77,Zaykovo,RU,65.39,scattered clouds,57.5613,62.7568,
83,Barcelos,PT,65.91,overcast clouds,41.5388,-8.6151,
86,Apomu,NG,70.3,overcast clouds,7.3333,4.1833,
87,Xichang,CN,76.19,clear sky,27.8964,102.2634,
88,Winneba,GH,73.6,few clouds,5.3511,-0.6231,
93,San Quintin,MX,69.98,clear sky,30.4833,-115.95,
94,Souillac,MU,68.14,clear sky,-20.5167,57.5167,
100,Goderich,CA,66.9,scattered clouds,43.7501,-81.7165,
101,Votkinsk,RU,66.78,broken clouds,57.0486,53.9872,
102,Avdon,RU,65.52,clear sky,54.6667,55.7167,
106,Buala,SB,79.7,light rain,-8.145,159.5921,
108,Thompson,CA,75.36,smoke,55.7435,-97.8558,
112,Khatanga,RU,70.74,overcast clouds,71.9667,102.5,
113,Teguise,ES,66.42,broken clouds,29.0605,-13.564,
115,Guerrero Negro,MX,74.68,clear sky,27.9769,-114.0611,
117,Mayo,US,72.48,heavy intensity rain,38.8876,-76.5119,
120,Itupiranga,BR,76.23,broken clouds,-5.1347,-49.3267,
121,Talnakh,RU,65.62,broken clouds,69.4865,88.3972,
126,North Myrtle Beach,US,77.11,moderate rain,33.816,-78.68,
127,Zhigansk,RU,77.72,clear sky,66.7697,123.3711,
131,Ngunguru,NZ,65.16,scattered clouds,-35.6167,174.5,
133,Fereydun Kenar,IR,79.38,broken clouds,36.6864,52.5225,
142,Yerbogachen,RU,72.03,overcast clouds,61.2767,108.0108,
143,Marzuq,YE,77.83,scattered clouds,14.4,46.4667,
148,Kapoeta,SS,76.84,overcast clouds,4.7717,33.5903,
151,Santa Cruz De La Palma,ES,72.14,broken clouds,28.6835,-17.7642,
155,Puerto Ayacucho,VE,73.02,broken clouds,5.6639,-67.6236,
156,Krasnyy Yar,RU,69.73,clear sky,46.5331,48.3456,
157,Pacific Grove,US,71.46,scattered clouds,36.6177,-121.9166,
159,Abonnema,NG,74.28,broken clouds,4.7084,6.7931,
164,Bethel,US,68.81,broken clouds,41.3712,-73.414,
169,Miri,MY,75.34,scattered clouds,4.4148,114.0089,
171,Arbuzynka,UA,69.12,few clouds,47.9097,31.3196,
174,Cayenne,GF,74.08,mist,4.9333,-52.3333,
176,Hay River,CA,71.37,clear sky,60.8156,-115.7999,
179,Barreirinhas,BR,73.49,scattered clouds,-2.7469,-42.8264,
182,Alta Floresta,BR,73.35,few clouds,-9.8756,-56.0861,
183,Aripuana,BR,72.01,broken clouds,-9.1667,-60.6333,
184,Garoua,CM,74.03,overcast clouds,9.3,13.4,
185,Black River,JM,77.99,overcast clouds,18.0264,-77.8487,
188,Altamira,BR,71.51,few clouds,-3.2033,-52.2064,
191,Faanui,PF,77.88,few clouds,-16.4833,-151.75,
192,Bekovo,RU,71.89,few clouds,52.4663,43.712,
196,Pitimbu,BR,73.0,scattered clouds,-7.4706,-34.8086,
197,Turukhansk,RU,69.8,overcast clouds,65.8167,87.9833,
198,Vao,NC,67.33,clear sky,-22.6667,167.4833,
200,Mahebourg,MU,69.33,clear sky,-20.4081,57.7,
203,Abatskoye,RU,67.77,clear sky,56.2875,70.4555,
206,Salalah,OM,74.59,overcast clouds,17.0151,54.0924,
211,Sydney,AU,65.62,broken clouds,-33.8679,151.2073,
213,Touros,BR,73.27,clear sky,-5.1989,-35.4608,
221,Juneau,US,73.09,broken clouds,58.3019,-134.4197,
222,Bonthe,SL,75.97,light rain,7.5264,-12.505,
223,Bambous Virieux,MU,69.33,clear sky,-20.3428,57.7575,
228,Odweyne,SO,68.67,few clouds,9.4092,45.064,
231,Terney,RU,66.9,overcast clouds,45.0503,136.6092,
234,Ewo,CG,76.71,overcast clouds,-0.8725,14.8206,
236,Upala,CR,75.11,overcast clouds,10.8979,-85.0145,
237,Aleysk,RU,74.08,overcast clouds,52.4926,82.7822,
238,Ribeira Grande,PT,72.72,few clouds,38.5167,-28.7,
240,Bingol,TR,68.04,clear sky,38.8847,40.4939,
243,Lincoln,US,70.39,clear sky,40.8,-96.667,
244,Porto Novo,BJ,74.48,scattered clouds,6.4965,2.6036,
246,Wanlaweyn,SO,71.1,overcast clouds,2.6185,44.8938,
248,Sechura,PE,65.98,clear sky,-5.5569,-80.8222,
250,Gamba,GA,71.91,broken clouds,-2.65,10.0,
255,Taree,AU,68.11,broken clouds,-31.9,152.4667,
257,Hangal,IN,73.29,overcast clouds,14.7667,75.1333,
258,Mazagao,BR,72.57,scattered clouds,-0.115,-51.2894,
260,San Pedro De Uraba,CO,75.56,overcast clouds,8.2752,-76.3764,
262,Lagoa,PT,71.78,overcast clouds,39.05,-27.9833,
263,Arraial Do Cabo,BR,66.09,scattered clouds,-22.9661,-42.0278,
265,Bengkulu,ID,79.95,broken clouds,-3.8004,102.2655,
269,Emilio Carranza,MX,79.34,scattered clouds,19.9711,-96.6114,
271,Ponta Do Sol,PT,72.23,clear sky,32.6667,-17.1,
272,Altay,CN,73.6,clear sky,47.8667,88.1167,
273,Almaznyy,RU,66.34,broken clouds,48.0448,40.045,
276,Krupanj,RS,78.84,clear sky,44.3656,19.3619,
278,Lompoc,US,73.38,clear sky,34.6391,-120.4579,
283,Luba,GQ,76.26,light rain,3.4568,8.5547,
286,Ponta Delgada,PT,72.32,light intensity drizzle,37.7333,-25.6667,
288,Granja,BR,73.85,scattered clouds,-3.1203,-40.8261,
290,Porto Santo,PT,71.51,scattered clouds,33.072,-16.3415,
292,Kenai,US,75.02,clear sky,60.5544,-151.2583,
299,Lunino,RU,69.91,clear sky,53.5918,45.2271,
300,Boende,CD,70.72,overcast clouds,-0.2167,20.8667,
304,Saint Anthony,US,70.66,clear sky,45.0205,-93.218,
305,Nioro,GM,74.8,broken clouds,13.35,-15.75,
306,Mednogorsk,RU,76.5,scattered clouds,51.4128,57.595,
315,Moscow,RU,66.72,overcast clouds,55.7522,37.6156,
316,Dharmapuri,IN,79.41,overcast clouds,12.1333,78.1667,
318,Tambura,SS,67.39,light rain,5.6,27.4667,
319,Senador Pompeu,BR,73.22,broken clouds,-5.5881,-39.3717,
324,Kontagora,NG,70.56,light rain,10.3999,5.4695,
325,Sangar,RU,79.02,overcast clouds,63.9242,127.4739,
326,Amapa,BR,70.66,broken clouds,1.0,-52.0,
332,Jashpurnagar,IN,75.07,overcast clouds,22.9,84.15,
334,Isiro,CD,65.07,overcast clouds,2.7739,27.616,
337,Sao Filipe,CV,75.24,few clouds,14.8961,-24.4956,
340,Gimli,CA,68.05,clear sky,50.6336,-96.9907,
341,Luanda,AO,72.3,overcast clouds,-8.8368,13.2343,
342,Nemuro,JP,67.19,overcast clouds,43.3236,145.575,
345,Lashio,MM,69.66,overcast clouds,22.9333,97.75,
346,Najran,SA,78.26,broken clouds,17.4924,44.1277,
347,Alofi,NU,76.35,few clouds,-19.0595,-169.9187,
351,Reo,BF,77.54,overcast clouds,12.3167,-2.4667,
352,Price,US,74.46,clear sky,39.5994,-110.8107,
356,Teya,RU,68.14,broken clouds,60.3778,92.6267,
359,Khon Kaen,TH,78.42,overcast clouds,16.5,102.0833,
360,Harrison,US,78.87,clear sky,30.4091,-89.0436,
361,Cibitung,ID,79.7,scattered clouds,-7.119,107.1309,
364,Buriti Dos Lopes,BR,71.37,broken clouds,-3.175,-41.8669,
365,Manta,EC,71.44,scattered clouds,-0.95,-80.7333,
367,Southbridge,US,66.2,broken clouds,42.0751,-72.0334,
369,Shangzhi,CN,77.58,overcast clouds,45.2167,127.9667,
370,Severo-Yeniseyskiy,RU,66.58,broken clouds,60.3725,93.0408,
372,Mandalgovi,MN,71.01,overcast clouds,45.7625,106.2708,
373,Davlekanovo,RU,66.22,overcast clouds,54.2215,55.0343,
378,Kikwit,CD,71.29,overcast clouds,-5.041,18.8162,
380,Port Hedland,AU,73.45,clear sky,-20.3167,118.5667,
383,Erenhot,CN,72.61,overcast clouds,43.6475,111.9767,
387,Aklavik,CA,70.86,overcast clouds,68.2191,-135.0107,
394,Ahtopol,BG,70.27,clear sky,42.1,27.95,
396,Jefferson City,US,75.13,clear sky,38.5767,-92.1735,
398,Camacha,PT,68.76,scattered clouds,33.0833,-16.3333,
403,Sao Gabriel Da Cachoeira,BR,72.01,overcast clouds,-0.1303,-67.0892,
404,Quixada,BR,70.45,scattered clouds,-4.9714,-39.0153,
405,San Francisco,US,72.12,few clouds,37.7749,-122.4194,
407,Tadine,NC,70.29,scattered clouds,-21.55,167.8833,
408,Coffs Harbour,AU,65.14,overcast clouds,-30.3,153.1333,
410,Soure,BR,78.17,broken clouds,-0.7167,-48.5233,
411,Hobyo,SO,76.26,clear sky,5.3505,48.5268,
414,Pafos,CY,78.58,clear sky,34.7667,32.4167,
415,Brewster,US,69.06,overcast clouds,41.3973,-73.6171,
417,Patu,BR,72.16,few clouds,-6.11,-37.6367,
418,Loikaw,MM,70.84,overcast clouds,19.6742,97.2094,
419,Lakatoro,VU,74.57,broken clouds,-16.0999,167.4164,
420,Parauna,BR,66.63,clear sky,-16.9478,-50.4486,
424,Asau,RO,72.39,light rain,46.4333,26.4,
427,Nouadhibou,MR,69.37,clear sky,20.931,-17.0347,
428,Itarema,BR,74.82,scattered clouds,-2.9248,-39.9167,
435,Dzhubga,RU,75.18,clear sky,44.3211,38.7039,
439,Hun,LY,79.39,clear sky,29.1268,15.9477,
440,Xining,CN,75.16,broken clouds,36.6167,101.7667,
441,Sinnamary,GF,77.4,clear sky,5.3833,-52.95,
442,Sao Joao Da Barra,BR,65.61,broken clouds,-21.6403,-41.0511,
444,Cintalapa,MX,71.22,overcast clouds,16.6951,-93.7272,
445,Busembatia,UG,65.73,overcast clouds,0.7697,33.6131,
448,Naranjal,EC,73.78,clear sky,-2.6667,-79.6167,
450,Bogatyye Saby,RU,65.98,broken clouds,56.0102,50.4483,
451,San Ramon,US,72.48,clear sky,37.7799,-121.978,
454,Klyuchi,RU,77.77,few clouds,52.2667,79.1667,
455,Carutapera,BR,72.54,broken clouds,-1.195,-46.02,
457,Big Spring,US,77.23,clear sky,32.2504,-101.4787,
458,Noumea,NC,73.38,clear sky,-22.2763,166.4572,
459,Tomatlan,MX,77.67,broken clouds,19.9333,-105.25,
462,Fairbanks,US,77.09,few clouds,64.8378,-147.7164,
464,Barkot,IN,77.18,broken clouds,30.8167,78.2,
465,Belyy Yar,RU,69.69,clear sky,53.6039,91.3903,
472,Kula,TR,67.87,clear sky,38.5473,28.6498,
475,Vila Franca Do Campo,PT,72.01,broken clouds,37.7167,-25.4333,
477,Dongsheng,CN,73.45,few clouds,39.8161,109.9776,
484,Argayash,RU,69.49,overcast clouds,55.4888,60.8767,
489,Westport,US,70.09,broken clouds,41.1415,-73.3579,
490,Haifa,IL,70.21,clear sky,32.8156,34.9892,
496,Wilmington,US,76.91,clear sky,34.2257,-77.9447,
501,Rondonopolis,BR,70.21,clear sky,-16.4708,-54.6356,
507,Matadi,CD,70.59,broken clouds,-5.8167,13.45,
510,North Platte,US,73.02,clear sky,41.1239,-100.7654,
513,Marsa Matruh,EG,78.93,clear sky,31.3525,27.2453,
516,Umm Kaddadah,SD,79.92,scattered clouds,13.6017,26.6876,
517,Olinda,BR,73.13,scattered clouds,-8.0089,-34.8553,
518,Sao Miguel Do Araguaia,BR,73.81,clear sky,-13.275,-50.1628,
520,Levelland,US,71.19,broken clouds,33.5873,-102.378,
522,Vylkove,UA,73.87,clear sky,45.4021,29.586,
525,Mitu,CO,68.56,broken clouds,1.1983,-70.1733,
527,Moroni,KM,73.33,clear sky,-11.7022,43.2551,
530,Praia Da Vitoria,PT,74.75,overcast clouds,38.7333,-27.0667,
535,Hudson Bay,CA,70.79,few clouds,52.85,-102.3842,
536,Abu Samrah,SY,76.1,clear sky,35.3029,37.1841,
542,Bardsir,IR,74.5,few clouds,29.9227,56.5743,
544,Shache,CN,68.79,overcast clouds,38.4167,77.2406,
545,Banepa,NP,75.52,scattered clouds,27.6298,85.5214,
547,Sainte-Maxime,FR,71.64,scattered clouds,43.3,6.6333,
548,Cheyenne,US,66.9,overcast clouds,41.14,-104.8203,
550,Barra Patuca,HN,79.3,scattered clouds,15.8,-84.2833,
552,Pierre,US,77.86,clear sky,44.3683,-100.351,
557,Kongolo,CD,71.33,few clouds,-5.3833,27.0,
558,Inirida,CO,70.83,overcast clouds,3.8653,-67.9239,
559,Svetlogorsk,BY,66.16,overcast clouds,52.6333,29.7333,
561,Turiacu,BR,71.69,broken clouds,-1.6633,-45.3717,
564,Oum Hadjer,TD,73.81,overcast clouds,13.2954,19.6966,
567,Mbuji-Mayi,CD,69.26,broken clouds,-6.15,23.6,
570,Moindou,NC,73.35,clear sky,-21.6924,165.677,
573,Starokostyantyniv,UA,69.46,broken clouds,49.7576,27.2034,
575,Grand Gaube,MU,71.35,clear sky,-20.0064,57.6608,
576,Gladstone,AU,79.79,light rain,-23.85,151.25,
578,Lodja,CD,66.94,overcast clouds,-3.4833,23.4333,
580,Verkhoyansk,RU,72.09,clear sky,67.5447,133.385,
584,Songjianghe,CN,69.12,moderate rain,42.1859,127.479,
588,Kushmurun,KZ,76.26,few clouds,52.4503,64.6311,
590,Luganville,VU,75.65,scattered clouds,-15.5333,167.1667,
592,Kamenka,RU,71.73,clear sky,51.3223,42.7678,
595,Staraya Kulatka,RU,74.62,scattered clouds,52.7167,47.6167,
596,Aneho,TG,75.2,scattered clouds,6.2333,1.6,
597,Gambela,ET,69.22,light rain,8.25,34.5833,
599,Mancio Lima,BR,67.48,clear sky,-7.6142,-72.8958,
603,Moorhead,US,69.98,smoke,46.8739,-96.7676,
607,Brigantine,US,70.09,scattered clouds,39.4101,-74.3646,
608,Coruripe,BR,71.8,clear sky,-10.1256,-36.1756,
611,North Branch,US,69.4,scattered clouds,45.5113,-92.9802,
613,Bardiyah,LY,78.35,clear sky,31.7561,25.0865,
614,Camacari,BR,71.37,broken clouds,-12.6975,-38.3242,
615,Xiaoshi,CN,75.25,overcast clouds,41.2971,124.1209,
616,Urubicha,BO,67.78,clear sky,-15.3833,-62.95,
620,Yaan,NG,71.28,overcast clouds,7.3833,8.5667,
622,Xam Nua,LA,74.12,overcast clouds,20.4197,104.0439,
624,Nicoya,CR,78.35,overcast clouds,10.1483,-85.452,
627,Montijo,PT,69.67,broken clouds,38.7067,-8.9739,
628,Muros,ES,66.83,overcast clouds,42.7762,-9.0603,
634,Rodrigues Alves,BR,67.84,clear sky,-7.738,-72.6509,
635,Toamasina,MG,65.79,light rain,-18.1667,49.3833,
636,Qurayyat,SA,76.89,clear sky,31.3318,37.3428,
641,Caravelas,BR,66.97,broken clouds,-17.7125,-39.2481,
646,Kilindoni,TZ,75.65,clear sky,-7.9139,39.6668,
647,La Ronge,CA,77.25,smoke,55.1001,-105.2842,
648,Shelbyville,US,72.84,clear sky,35.4834,-86.4603,
655,Fuente De Oro,CO,68.85,overcast clouds,3.4594,-73.6128,
662,Nakatunguru,TZ,70.11,few clouds,-2.1167,33.0667,
664,Sicamous,CA,77.99,overcast clouds,50.8331,-118.9856,
665,Yankton,US,66.45,haze,42.8711,-97.3973,
666,Ciudad Bolivar,VE,76.59,overcast clouds,8.1222,-63.5497,
667,Petropavlovsk-Kamchatskiy,RU,70.39,few clouds,53.0452,158.6483,
668,Atbasar,KZ,77.99,few clouds,51.8,68.3333,
669,Connersville,US,67.17,clear sky,39.6412,-85.1411,
670,Flin Flon,CA,73.15,clear sky,54.7682,-101.865,
671,Zheleznodorozhnyy,RU,68.36,overcast clouds,55.7503,38.0042,
